Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2025-01-14,417.81,419.74,410.72,415.67,16935856.0,415.473,1736830800000,291483,
2025-01-15,419.13,428.15,418.265,426.31,19637838.0,425.5384,1736917200000,306574,
2025-01-16,428.695,429.49,424.39,424.58,15300023.0,426.1062,1737003600000,247931,
2025-01-17,434.085,434.48,428.17,429.03,26197507.0,430.6367,1737090000000,280168,
2025-01-21,430.2,430.8999,425.595,428.5,26085703.0,428.5769,1737435600000,389324,
2025-01-22,437.56,447.27,436.0,446.2,27803811.0,442.944,1737522000000,463559,
2025-01-23,442.0,446.75,441.5048,446.71,18389270.0,444.9181,1737608400000,281369,
2025-01-24,445.16,446.65,441.4,444.06,15549453.0,444.0559,1737694800000,269540,
2025-01-27,424.01,435.2,423.5,434.56,35647805.0,430.045,1737954000000,646791,
2025-01-28,434.6,448.38,431.38,447.2,23491703.0,443.6589,1738040400000,419473,
2025-01-29,446.69,446.88,440.4,442.33,23581370.0,439.3597,1738126800000,466063,
2025-01-30,418.77,422.86,413.16,414.99,54586260.0,416.3876,1738213200000,1142723,
2025-01-31,418.98,420.69,414.91,415.06,34223388.0,416.8028,1738299600000,567270,
2025-02-03,411.6,415.41,408.66,410.92,25679149.0,411.9189,1738558800000,505730,
2025-02-04,412.685,413.9199,409.74,412.37,20532096.0,412.0535,1738645200000,354122,
2025-02-05,412.35,413.827,410.4,413.29,16336188.0,412.5466,1738731600000,311862,
2025-02-06,414.0,418.2,414.0,415.82,16309755.0,416.0424,1738818000000,289458,
2025-02-07,416.48,418.65,408.1,409.75,22886844.0,411.3369,1738904400000,437552,
2025-02-10,413.71,415.4624,410.92,412.22,20817919.0,412.7279,1739163600000,291373,
2025-02-11,409.64,412.49,409.3,411.44,18140592.0,411.1454,1739250000000,242310,
2025-02-12,407.21,410.75,404.3673,409.04,19121734.0,408.8347,1739336400000,328185,
2025-02-13,407.0,411.0,406.36,410.54,23891731.0,409.5178,1739422800000,327103,
2025-02-14,407.79,408.91,405.88,408.43,22758464.0,407.6562,1739509200000,366188,
2025-02-18,408.0,410.597,406.5,409.64,21423051.0,408.9786,1739854800000,342340,
2025-02-19,407.88,415.49,407.65,414.77,24114197.0,412.2135,1739941200000,372874,
2025-02-20,415.29,419.31,412.54,416.13,23508728.0,416.3504,1740027600000,395746,
2025-02-21,417.335,418.048,407.89,408.21,27524799.0,411.4857,1740114000000,385141,
2025-02-24,408.51,409.37,399.32,404.0,26443656.0,403.4592,1740373200000,514485,
2025-02-25,401.1,401.915,396.7,397.9,29387402.0,398.9023,1740459600000,492990,
2025-02-26,398.01,403.6,394.245,399.73,19618954.0,399.6276,1740546000000,327110,
2025-02-27,401.265,405.74,392.17,392.53,21127406.0,396.2031,1740632400000,377155,
2025-02-28,392.655,397.63,386.57,396.99,32845658.0,393.978,1740718800000,432229,
2025-03-03,398.82,398.82,386.155,388.49,23007726.0,391.4831,1740978000000,451463,
2025-03-04,383.4,392.58,381.0,388.61,29342923.0,386.7008,1741064400000,553952,
2025-03-05,389.34,401.67,388.81,401.02,23433132.0,397.0442,1741150800000,404519,
2025-03-06,394.28,402.15,392.6777,396.89,23304625.0,397.2225,1741237200000,393757,
2025-03-07,392.32,394.8,385.54,393.31,22034087.0,391.4953,1741323600000,407965,
2025-03-10,385.84,386.4,377.22,380.16,32840134.0,381.0032,1741579200000,703151,
2025-03-11,379.0,386.0,376.91,380.45,30380177.0,381.3124,1741665600000,470076,
2025-03-12,382.95,385.2165,378.9507,383.27,24253567.0,382.6306,1741752000000,418282,
2025-03-13,383.155,385.32,377.45,378.77,20473017.0,379.9685,1741838400000,369783,
2025-03-14,379.775,390.23,379.51,388.56,19952846.0,386.5971,1741924800000,335261,
2025-03-17,386.7,392.705,385.57,388.7,22474272.0,388.9763,1742184000000,330043,
2025-03-18,387.07,387.37,381.1,383.52,19486850.0,383.4213,1742270400000,319254,
2025-03-19,385.525,389.68,384.0,387.82,19185532.0,386.9789,1742356800000,259928,
2025-03-20,385.735,391.785,383.28,386.84,18470542.0,387.128,1742443200000,277903,
2025-03-21,383.215,391.74,382.8,391.26,39675928.0,387.9617,1742529600000,312808,
2025-03-24,395.4,395.4,389.81,393.08,21004548.0,392.7781,1742788800000,339161,
2025-03-25,393.915,396.36,392.64,395.16,15774968.0,394.8219,1742875200000,262247,
2025-03-26,395.0,395.31,388.57,389.97,16132906.0,391.4984,1742961600000,283679,
2025-03-27,390.13,392.24,387.395,390.58,13766761.0,390.406,1743048000000,240016,
2025-03-28,388.08,389.13,376.93,378.8,21632016.0,380.4626,1743134400000,420396,
2025-03-31,372.535,377.07,367.24,375.39,35184676.0,372.9851,1743393600000,509405,
2025-04-01,374.65,382.85,373.23,382.19,19689503.0,380.0488,1743480000000,404620,
2025-04-02,377.965,385.08,376.62,382.14,16092555.0,381.7201,1743566400000,320479,
2025-04-03,374.785,377.48,369.35,373.11,30197997.0,373.8726,1743652800000,569672,
2025-04-04,364.125,374.59,359.48,359.84,49209854.0,364.7524,1743739200000,811766,
2025-04-07,350.88,370.9999,344.79,357.86,50424998.0,356.0197,1743998400000,911613,
2025-04-08,368.255,373.65,350.25,354.56,35868918.0,361.4573,1744084800000,627042,
2025-04-09,353.535,393.225,353.1,390.49,50199696.0,379.0287,1744171200000,767323,
2025-04-10,382.06,383.9,367.8,381.35,38024368.0,378.8984,1744257600000,576388,
2025-04-11,380.635,390.05,378.89,388.45,23839220.0,386.4611,1744344000000,375874,
2025-04-14,393.22,394.65,384.21,387.81,19251172.0,388.9915,1744603200000,334136,
2025-04-15,388.505,391.89,384.1599,385.73,17199890.0,386.9027,1744689600000,272411,
2025-04-16,380.67,381.61,368.0,371.61,21967826.0,373.9272,1744776000000,375761,
2025-04-17,373.745,374.3215,366.89,367.78,21120192.0,370.1449,1744862400000,310300,
2025-04-21,362.815,364.48,355.67,359.12,20807279.0,359.2345,1745208000000,343817,
2025-04-22,363.375,367.77,359.8602,366.82,19484993.0,365.2278,1745294400000,304006,
2025-04-23,376.06,380.39,373.02,374.39,20545526.0,376.1582,1745380800000,335410,
2025-04-24,375.695,388.45,375.19,387.3,22232289.0,385.1448,1745467200000,297801,
2025-04-25,387.0,392.16,384.6,391.85,18973165.0,390.0006,1745553600000,276680,
2025-04-28,391.955,392.74,386.638,391.16,16579430.0,390.2477,1745812800000,274916,
2025-04-29,391.3,395.1,390.38,394.04,14973976.0,393.5949,1745899200000,249780,
2025-04-30,390.3,396.66,384.44,395.26,36461075.0,397.3093,1745985600000,525137,
2025-05-01,431.11,436.99,424.9,425.4,58938100.0,430.3142,1746072000000,913598,
2025-05-02,431.74,439.44,429.985,435.28,30757434.0,435.5067,1746158400000,542335,
2025-05-05,432.87,439.5,432.11,436.17,20136053.0,436.5349,1746417600000,328657,
2025-05-06,432.2,437.73,431.17,433.31,15104204.0,434.4002,1746504000000,297624,
2025-05-07,433.84,438.12,431.1103,433.35,23307241.0,433.8398,1746590400000,330269,
2025-05-08,437.93,443.67,435.66,438.17,23491330.0,439.1835,1746676800000,380141,
2025-05-09,440.0,440.74,435.88,438.73,15324233.0,438.262,1746763200000,247739,
2025-05-12,445.94,449.37,439.78,449.26,22821935.0,445.9953,1747022400000,417124,
2025-05-13,447.78,450.6733,445.36,449.14,23618819.0,448.6023,1747108800000,406705,
2025-05-14,448.14,453.9,448.14,452.94,19902796.0,452.1864,1747195200000,378377,
2025-05-15,450.765,456.19,450.4301,453.13,21992323.0,453.4481,1747281600000,364866,
2025-05-16,452.05,454.36,448.73,454.27,23849781.0,452.1762,1747368000000,329065,
2025-05-19,450.875,459.585,450.8,458.87,21336509.0,457.5456,1747627200000,345933,
2025-05-20,455.59,458.34,454.3201,458.17,15441808.0,456.8226,1747713600000,257266,
2025-05-21,454.57,457.78,451.814,452.57,19216906.0,454.3728,1747800000000,320670,
2025-05-22,454.95,460.25,453.9,454.86,18025612.0,456.1561,1747886400000,334105,
2025-05-23,449.98,453.69,448.91,450.18,16883509.0,451.0242,1747972800000,323259,
2025-05-27,456.48,460.95,456.115,460.69,20974293.0,458.9856,1748318400000,362158,
2025-05-28,461.22,462.52,456.93,457.36,17086261.0,458.5505,1748404800000,280126,
2025-05-29,461.55,461.72,455.3105,458.68,13982211.0,458.6283,1748491200000,283780,
2025-05-30,459.715,461.68,455.54,460.36,34770475.0,459.8626,1748577600000,339757,
2025-06-02,457.14,462.11,456.89,461.97,16626495.0,461.0693,1748836800000,289505,
2025-06-03,461.47,464.14,460.8622,462.97,15743760.0,462.6486,1748923200000,306326,
2025-06-04,464.0,465.69,463.0201,463.87,14162688.0,464.2509,1749009600000,275697,
2025-06-05,464.955,469.65,464.03,467.68,20154460.0,467.4725,1749096000000,355702,
2025-06-06,470.085,473.335,468.78,470.38,15285624.0,470.8644,1749182400000,357963,
2025-06-09,469.7,473.43,468.62,472.75,16469932.0,471.8651,1749441600000,306173,
2025-06-10,471.185,472.8,466.96,470.92,15375944.0,469.9769,1749528000000,306084,
2025-06-11,470.02,475.47,469.655,472.62,16399176.0,473.0906,1749614400000,316703,
2025-06-12,475.02,480.415,473.52,478.87,18950582.0,478.0711,1749700800000,351653,
2025-06-13,476.41,479.18,472.76,474.96,16814456.0,475.6248,1749787200000,354555,
2025-06-16,475.21,480.6943,475.0,479.14,15626104.0,479.043,1750046400000,330452,
2025-06-17,475.395,478.7399,474.08,478.04,15414128.0,477.1437,1750132800000,298756,
2025-06-18,478.0,481.0,474.46,480.24,17526452.0,479.3813,1750219200000,310610,
2025-06-20,482.23,483.46,476.87,477.4,37576206.0,479.1043,1750392000000,333231,
2025-06-23,478.21,487.75,472.51,486.0,24863952.0,482.5493,1750651200000,472837,
2025-06-24,488.95,491.849,486.795,490.11,22305642.0,490.0008,1750737600000,386695,
2025-06-25,492.04,494.5556,489.39,492.27,17495099.0,492.1014,1750824000000,339135,
2025-06-26,492.98,498.04,492.81,497.45,21578853.0,496.3673,1750910400000,406492,
2025-06-27,497.55,499.3,493.03,495.94,34539236.0,496.4069,1750996800000,389784,
2025-06-30,497.04,500.76,495.33,497.41,28368991.0,497.6606,1751256000000,382627,
2025-07-01,496.47,498.05,490.98,492.05,19945375.0,493.4606,1751342400000,408997,
2025-07-02,489.99,493.5,488.7,491.09,16319641.0,491.1291,1751428800000,349990,
2025-07-03,493.81,500.13,493.44,498.84,13984829.0,498.1538,1751515200000,284377,
2025-07-07,497.38,498.75,495.225,497.72,13981605.0,497.3848,1751860800000,323380,
2025-07-08,497.24,498.2,494.11,496.62,11846586.0,496.2544,1751947200000,263190,
2025-07-09,500.3,506.78,499.74,503.51,18659538.0,502.6947,1752033600000,476934,
2025-07-10,503.05,504.44,497.75,501.48,16498740.0,501.0552,1752120000000,352813,
2025-07-11,498.47,505.03,497.795,503.32,16459512.0,502.7795,1752206400000,319261,
2025-07-14,501.515,503.97,501.03,503.02,12058848.0,502.6866,1752465600000,292534,
2025-07-15,503.02,508.3,502.79,505.82,14927202.0,506.0276,1752552000000,332086,
2025-07-16,505.18,506.72,501.89,505.62,15154374.0,504.8964,1752638400000,327015,
2025-07-17,505.68,513.37,505.62,511.7,17503129.0,511.3536,1752724800000,402536,
2025-07-18,514.48,514.64,507.43,510.05,21209666.0,510.8868,1752811200000,341243,
2025-07-21,506.705,512.09,505.55,510.06,14066805.0,510.12,1753070400000,318000,
2025-07-22,510.97,511.2,505.27,505.27,13868644.0,507.0212,1753156800000,293454,
2025-07-23,506.75,506.79,500.7,505.87,16396585.0,504.2314,1753243200000,335122,
2025-07-24,508.77,513.67,507.3,510.88,16107000.0,510.763,1753329600000,323765,
2025-07-25,512.465,518.29,510.3592,513.71,19125699.0,514.1993,1753416000000,362742,
2025-07-28,514.08,515.0,510.12,512.5,14308027.0,512.5033,1753675200000,329930,
2025-07-29,515.53,517.62,511.56,512.57,16469235.0,513.3429,1753761600000,343983,
2025-07-30,515.17,515.95,509.435,513.24,26380434.0,520.0145,1753848000000,517178,
2025-07-31,555.225,555.45,531.9,533.5,51617326.0,537.9712,1753934400000,870710,
2025-08-01,535.0,535.8,520.86,524.11,28977628.0,525.8586,1754020800000,623164,
2025-08-04,528.27,538.25,528.13,535.64,25349004.0,535.0885,1754280000000,499433,
2025-08-05,537.18,537.3,527.24,527.75,19171569.0,531.2529,1754366400000,370263,
2025-08-06,530.9,531.7,524.03,524.94,21355702.0,526.0351,1754452800000,409567,
2025-08-07,526.8,528.09,517.5511,520.84,16079144.0,522.0946,1754539200000,369305,
2025-08-08,522.6,524.66,519.41,522.04,15531009.0,521.9404,1754625600000,341360,
2025-08-11,522.3,527.59,519.72,521.77,20194372.0,522.8272,1754884800000,368513,
2025-08-12,523.75,530.98,522.7,529.24,18688921.0,527.7602,1754971200000,374255,
2025-08-13,532.11,532.7,519.37,520.58,19619160.0,524.4754,1755057600000,401693,
2025-08-14,522.56,525.9499,520.14,522.48,20269074.0,522.6974,1755144000000,371263,
2025-08-15,522.77,526.1,519.08,520.17,25213272.0,521.8961,1755230400000,363144,
2025-08-18,521.585,522.82,514.02,517.1,23760583.0,516.9022,1755489600000,508489,
2025-08-19,515.0,515.1641,508.55,509.77,21481016.0,510.4798,1755576000000,454138,
2025-08-20,509.865,511.0,504.44,505.72,27723025.0,506.4212,1755662400000,524148,
2025-08-21,503.69,507.63,502.7201,504.24,18443254.0,505.0111,1755748800000,361026,
2025-08-22,504.25,510.73,502.41,507.23,24324161.0,507.5152,1755835200000,449235,
2025-08-25,506.63,508.19,504.12,504.26,21638579.0,505.8822,1756094400000,372385,
2025-08-26,504.355,504.9778,498.51,502.04,30835709.0,501.6215,1756180800000,448740,
2025-08-27,502.0,507.29,499.9,506.74,17277893.0,504.9565,1756267200000,330579,
2025-08-28,507.09,511.09,505.5,509.64,18015593.0,508.788,1756353600000,322276,
2025-08-29,508.66,509.6,504.4915,506.69,20961569.0,507.1777,1756440000000,342076,
2025-09-02,500.465,506.0,496.81,505.12,18127995.0,503.0349,1756785600000,425061,
2025-09-03,503.79,507.79,502.32,505.35,16345078.0,504.9437,1756872000000,404444,
2025-09-04,504.3,508.15,503.15,507.97,15509486.0,506.8904,1756958400000,296435,
2025-09-05,509.07,511.97,492.37,495.0,31994846.0,496.8246,1757044800000,660360,
2025-09-08,498.105,501.195,495.03,498.2,16771015.0,498.6345,1757304000000,398106,
2025-09-09,501.43,502.25,497.7,498.41,14410542.0,499.2582,1757390400000,321802,
2025-09-10,502.98,503.2299,496.72,500.37,21611816.0,500.5297,1757476800000,472577,
2025-09-11,502.25,503.17,497.88,501.01,18881608.0,501.4612,1757563200000,392932,
2025-09-12,506.65,512.55,503.85,509.9,23624884.0,509.6873,1757649600000,465040,
2025-09-15,508.79,515.47,507.0,515.36,17143786.0,513.0943,1757908800000,384566,
2025-09-16,516.88,517.23,508.6,509.04,19711922.0,511.2843,1757995200000,430883,
2025-09-17,510.62,511.29,505.93,510.02,15816585.0,508.9381,1758081600000,370584,
2025-09-18,511.49,513.07,507.66,508.45,18913696.0,509.2176,1758168000000,387558,
2025-09-19,510.56,519.3,510.31,517.93,52474093.0,515.2262,1758254400000,435875,
2025-09-22,515.59,517.74,512.545,514.45,20009314.0,514.6125,1758513600000,462914,
2025-09-23,513.8,514.5899,507.31,509.23,19799580.0,510.0672,1758600000000,411011,
2025-09-24,510.38,512.48,506.92,510.15,13533711.0,509.4699,1758686400000,325738,
2025-09-25,508.3,510.01,505.04,507.03,15786468.0,507.4554,1758772800000,378180,
2025-09-26,510.06,513.94,506.62,511.46,16213129.0,510.4715,1758859200000,362718,
2025-09-29,511.5,516.845,508.88,514.6,17617775.0,514.4514,1759118400000,388795,
2025-09-30,513.24,518.16,509.66,517.95,19728229.0,516.2137,1759204800000,414800,
2025-10-01,514.8,520.505,511.69,519.71,22632336.0,517.2994,1759291200000,466544,
2025-10-02,517.64,521.6,510.6791,515.74,21222886.0,515.8554,1759377600000,510060,
2025-10-03,517.1,520.49,515.0,517.35,15112321.0,518.0515,1759464000000,415120,
2025-10-06,518.61,531.03,518.2,528.57,21388581.0,526.5819,1759723200000,562823,
2025-10-07,528.285,529.8,521.44,523.98,14615208.0,524.469,1759809600000,451279,
2025-10-08,523.28,526.95,523.09,524.85,13363447.0,524.8448,1759896000000,320113,
